id,location,longitude,latitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,host_is_superhost,instant_bookable,cancellation_policy,tv,air_conditioning,balcony_patio,bed_linen,outdoor_space,breakfast,coffee_machine,cooking_equip,white_goods,child_friendly,parking,greet_by_host,internet,long_term_stay,pets,private_entrance,security_system,self_checkin,gym,review_scores_rating_under80,review_scores_rating_80_94,review_scores_rating_95_100,review_scores_rating_unknown
172616,Chicago,-87.67315,41.89753,Apartment,Entire home/apt,3,1,2,2,72,0,45,2,10,3,150,65,96,TRUE,FALSE,moderate,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0
175511,Chicago,-87.72158,41.96012,Apartment,Entire home/apt,4,1,1,1,67,100,100,1,30,3,365,33,96,TRUE,FALSE,moderate,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0
184764,Chicago,-87.75403,41.94325,House,Private room,2,1,1,1,85,150,50,2,10,3,1460,162,95,FALSE,FALSE,strict,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
189821,Chicago,-87.70219,41.92918,Apartment,Entire home/apt,5,1,2,3,125,0,40,2,20,2,60,482,99,TRUE,TRUE,moderate,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0
198135,Chicago,-87.67963,41.95935,Apartment,Private room,2,1,1,1,44,0,30,1,10,2,92,170,99,TRUE,FALSE,strict,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0
207218,Chicago,-87.60892,41.6883,House,Entire home/apt,3,1,1,1,90,100,35,2,20,1,365,268,98,TRUE,FALSE,strict,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0
221109,Chicago,-87.65654,41.89273,Apartment,Entire home/apt,2,1,1,1,115,500,50,2,40,20,365,112,96,FALSE,FALSE,moderate,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
225314,Chicago,-87.69593,41.92543,House,Private room,1,1,1,1,75,0,30,1,15,2,7,20,98,FALSE,FALSE,moderate,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
230836,Chicago,-87.66088,41.96331,Apartment,Private room,2,1,1,1,125,100,50,1,25,365,365,5,90,FALSE,FALSE,moderate,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
233933,Chicago,-87.72781,41.95602,House,Private room,2,1,1,1,55,100,20,2,10,2,30,153,96,TRUE,FALSE,moderate,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0
248791,Chicago,-87.65791,41.96797,House,Private room,2,1.5,1,1,90,0,10,2,25,2,365,97,98,TRUE,FALSE,strict,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0
250354,Chicago,-87.62399,41.86051,Apartment,Entire home/apt,2,1,1,1,170,300,50,1,25,180,365,39,97,FALSE,FALSE,moderate,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0
258253,Chicago,-87.68438,42.00692,Apartment,Entire home/apt,2,1,1,1,48,200,60,2,50,32,90,19,97,FALSE,FALSE,strict,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
261509,Chicago,-87.63494,41.90314,Apartment,Entire home/apt,2,1,1,1,149,200,100,3,50,32,1125,62,97,FALSE,FALSE,moderate,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
264547,Chicago,-87.64487,41.88467,Apartment,Entire home/apt,3,1.5,2,2,195,750,80,3,50,10,180,65,97,FALSE,FALSE,moderate,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0
267646,Chicago,-87.70471,41.92716,House,Private room,2,1,1,1,97,200,33,1,33,2,365,139,99,TRUE,FALSE,strict,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
275496,Chicago,-87.6404,41.88623,Apartment,Entire home/apt,6,2,3,3,175,0,25,1,10,360,760,10,82,FALSE,FALSE,flexible,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0
289689,Chicago,-87.65764,41.97794,Apartment,Private room,1,1,1,1,26,0,0,1,0,30,1125,60,95,TRUE,FALSE,strict,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
289884,Chicago,-87.68353,41.92063,House,Private room,4,2,1,1,125,100,50,1,20,1,1124,84,97,TRUE,FALSE,strict,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
290155,Chicago,-87.63967,41.82702,Apartment,Entire home/apt,6,1.5,3,3,130,200,0,2,0,3,90,52,97,FALSE,TRUE,strict,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0
298321,Chicago,-87.59027,41.78216,Apartment,Private room,3,1,1,1,47,0,0,1,0,2,52,46,96,FALSE,FALSE,flexible,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312192,Chicago,-87.63934,41.82741,Apartment,Entire home/apt,6,1.5,2,3,146,200,0,2,0,4,120,38,95,FALSE,TRUE,strict,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0
313227,Chicago,-87.70916,41.96331,Apartment,Entire home/apt,2,1,1,1,85,100,75,1,0,3,7,47,98,FALSE,FALSE,moderate,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
345075,Chicago,-87.59436,41.8077,Apartment,Private room,2,1,1,1,85,200,30,2,20,2,8,232,99,TRUE,FALSE,strict,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0
349265,Chicago,-87.58948,41.80086,House,Entire home/apt,7,2,4,5,195,0,150,7,50,7,90,8,100,TRUE,FALSE,strict,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0
350347,Chicago,-87.65473,41.93986,Apartment,Entire home/apt,4,2,2,2,136,150,100,4,0,3,14,480,98,TRUE,TRUE,moderate,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0
363702,Chicago,-87.67146,41.9991,House,Private room,2,1,1,1,30,0,0,1,0,1,1125,54,96,FALSE,TRUE,flexible,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0
363703,Chicago,-87.67027,42.00162,Apartment,Entire home/apt,6,1,2,3,30,0,0,4,10,1,1125,39,83,FALSE,TRUE,flexible,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0
372929,Chicago,-87.65597,41.89862,House,Entire home/apt,12,3,3,5,295,500,100,2,25,1,1125,212,97,TRUE,FALSE,strict,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0
395257,Chicago,-87.62058,41.82869,House,Private room,2,1,1,1,35,200,100,1,5,1,1125,19,96,FALSE,FALSE,strict,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
397472,Chicago,-87.66511,42.01455,Apartment,Entire home/apt,4,1,2,2,71,200,30,1,20,1,1000,424,85,FALSE,FALSE,moderate,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0
404792,Chicago,-87.66763,41.88913,Apartment,Entire home/apt,3,1,2,3,130,0,75,2,15,3,365,187,91,FALSE,FALSE,moderate,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0
412182,Chicago,-87.69902,41.91891,Apartment,Entire home/apt,4,1,1,1,69,0,25,2,20,2,1125,143,97,FALSE,TRUE,moderate,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
422214,Chicago,-87.66659,41.89843,Apartment,Entire home/apt,16,4,6,6,250,500,125,6,25,3,90,130,98,TRUE,FALSE,strict,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
446474,Chicago,-87.68181,41.90095,Apartment,Entire home/apt,5,2,3,3,175,0,80,4,20,3,60,4,95,FALSE,FALSE,strict,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
450648,Chicago,-87.62275,41.86614,Apartment,Private room,2,1,1,1,119,200,75,1,35,3,1125,38,94,FALSE,FALSE,strict,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0
464581,Chicago,-87.69385,41.92451,Apartment,Entire home/apt,4,1,1,2,49,0,29,2,15,2,360,621,96,TRUE,FALSE,moderate,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0
484898,Chicago,-87.67267,41.97053,House,Entire home/apt,6,1.5,3,3,225,100,100,4,20,3,30,14,95,FALSE,FALSE,strict,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
488097,Chicago,-87.6731,41.91173,Apartment,Private room,2,1,1,0,60,500,0,1,0,3,180,19,95,FALSE,TRUE,moderate,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
496809,Chicago,-87.67501,42.00435,House,Private room,2,1,1,1,85,0,25,1,20,3,90,36,99,FALSE,FALSE,strict,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
533831,Chicago,-87.6425,41.91269,House,Entire home/apt,8,2.5,3,3,280,250,145,3,45,2,365,55,89,FALSE,TRUE,moderate,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0
537419,Chicago,-87.63919,41.94286,Apartment,Private room,1,1,1,1,130,500,25,1,25,1,30,28,94,FALSE,FALSE,strict,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
542067,Chicago,-87.69989,41.93142,Apartment,Entire home/apt,4,1,2,3,125,0,40,2,25,3,31,260,97,TRUE,FALSE,moderate,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0
548905,Chicago,-87.61559,41.82293,House,Entire home/apt,3,1,1,0,85,350,50,1,15,2,32,227,97,FALSE,FALSE,flexible,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
573540,Chicago,-87.63919,41.94284,Apartment,Entire home/apt,3,2,2,2,490,800,25,2,30,1,1125,35,96,FALSE,FALSE,strict,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0
584590,Chicago,-87.68359,41.96425,Apartment,Private room,2,1,1,1,75,0,30,1,10,1,90,43,90,FALSE,FALSE,strict,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
585353,Chicago,-87.66268,41.88961,Apartment,Private room,3,2,1,3,42,150,25,1,20,1,60,127,89,FALSE,TRUE,strict,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
585356,Chicago,-87.66241,41.89003,Apartment,Private room,4,2,1,2,74,150,30,2,35,1,60,143,90,FALSE,FALSE,strict,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
611839,Chicago,-87.67946,41.93537,Apartment,Private room,1,1,1,1,42,0,30,1,0,2,60,160,97,TRUE,FALSE,strict,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0
628149,Chicago,-87.66086,41.89056,Apartment,Private room,2,2,1,1,63,100,20,1,20,1,125,96,91,FALSE,TRUE,strict,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
634310,Chicago,-87.66213,41.99667,Apartment,Private room,2,1,1,1,65,250,0,1,15,2,1125,81,98,TRUE,FALSE,strict,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0
640841,Chicago,-87.67134,41.94242,Apartment,Entire home/apt,4,2.5,2,2,200,300,80,4,50,3,14,46,100,TRUE,FALSE,strict,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0
651742,Chicago,-87.75569,41.99244,House,Private room,2,1,1,1,75,0,0,1,0,2,365,66,99,TRUE,FALSE,strict,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
662034,Chicago,-87.75719,41.99201,House,Private room,2,1,1,1,65,0,0,1,0,2,365,66,98,TRUE,FALSE,strict,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
681842,Chicago,-87.68121,41.99348,Apartment,Private room,1,1,1,1,50,200,9,1,40,3,10,26,98,FALSE,FALSE,moderate,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
697634,Chicago,-87.63499,41.90302,Apartment,Entire home/apt,4,1,2,2,99,300,95,1,0,31,1125,150,97,TRUE,FALSE,strict,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
699284,Chicago,-87.64895,41.92929,House,Entire home/apt,12,3,6,8,800,1000,200,10,25,3,365,44,93,FALSE,FALSE,moderate,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0
724895,Chicago,-87.66096,41.88999,Apartment,Private room,2,2,1,0,44,100,20,1,15,1,30,130,88,FALSE,TRUE,strict,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0
726376,Chicago,-87.65218,41.93932,Apartment,Entire home/apt,2,1,1,1,85,0,0,2,15,2,30,620,94,FALSE,FALSE,moderate,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
727847,Chicago,-87.70293,41.92255,Apartment,Private room,2,1,2,1,60,0,30,1,20,2,1125,73,85,FALSE,FALSE,moderate,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
731232,Chicago,-87.699,41.92669,Apartment,Entire home/apt,5,1,3,4,90,0,40,4,20,2,365,134,97,FALSE,FALSE,moderate,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
739495,Chicago,-87.68087,41.97847,Apartment,Entire home/apt,4,1,2,2,75,0,70,4,25,4,30,185,97,FALSE,FALSE,strict,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
753809,Chicago,-87.61566,41.88624,Apartment,Entire home/apt,3,1,1,1,94,0,80,1,0,31,1122,13,94,TRUE,FALSE,moderate,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0
755701,Chicago,-87.72061,41.92997,Apartment,Entire home/apt,5,1,3,6,135,0,200,4,50,5,1125,19,94,FALSE,FALSE,strict,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0
764856,Chicago,-87.64935,41.88676,Apartment,Entire home/apt,2,1,1,1,159,200,35,1,0,2,120,235,98,TRUE,FALSE,moderate,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
773127,Chicago,-87.682,41.94994,House,Private room,2,2,1,2,84,0,20,2,25,2,14,128,96,TRUE,FALSE,moderate,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
