id,longitude,latitude,accommodates,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,tv,air_conditioning,balcony_patio,bed_linen,outdoor_space,breakfast,coffee_machine,cooking_equip,white_goods,child_friendly,parking,greet_by_host,internet,long_term_stay,pets,private_entrance,security_system,self_checkin,gym,review_scores_accuracy_under8,review_scores_accuracy_9,review_scores_accuracy_10,review_scores_accuracy_unknown,review_scores_cleanliness_under8,review_scores_cleanliness_9,review_scores_cleanliness_10,review_scores_cleanliness_unknown,review_scores_checkin_under8,review_scores_checkin_9,review_scores_checkin_10,review_scores_checkin_unknown,review_scores_communication_under8,review_scores_communication_9,review_scores_communication_10,review_scores_communication_unknown,review_scores_location_under8,review_scores_location_9,review_scores_location_10,review_scores_location_unknown,review_scores_value_under8,review_scores_value_9,review_scores_value_10,review_scores_value_unknown,review_scores_rating_under80,review_scores_rating_80_94,review_scores_rating_95_100,review_scores_rating_unknown,property_type_House,room_type_Private room,host_is_superhost_TRUE,instant_bookable_TRUE,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict
38074362,-87.65933,41.89142,0.6931471805599453,3.6635616461296463,-6.907755278982137,2.70805020110221,-6.907755278982137,0.6931471805599453,2.5649493574615367,2.5649493574615367,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
38074411,-87.6583,41.89315,0.6931471805599453,3.6635616461296463,-6.907755278982137,2.70805020110221,-6.907755278982137,0,2.5649493574615367,3.1780538303479458,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
38074485,-87.65976,41.89329,0.6931471805599453,3.6635616461296463,-6.907755278982137,2.70805020110221,-6.907755278982137,0,2.5649493574615367,3.044522437723423,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
38074499,-87.68142,41.91882,0.6931471805599453,4.060443010546419,-6.907755278982137,-6.907755278982137,2.302585092994046,0.6931471805599453,3.4011973816621555,2.772588722239781,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
38075680,-87.7804,41.97433,0.6931471805599453,4.143134726391533,-6.907755278982137,2.70805020110221,2.995732273553991,0,7.025538314638521,3.4011973816621555,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0
38078250,-87.62126,41.78708,2.0794415416798357,5.19295685089021,-6.907755278982137,5.0106352940962555,4.605170185988092,3.4011973816621555,3.4011973816621555,-6.907755278982137,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
38082581,-87.66778,41.9662,1.3862943611198906,3.6635616461296463,-6.907755278982137,3.5553480614894135,2.70805020110221,0,5.902633333401366,2.4849066497880004,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0
38083364,-87.63364,41.88605,0.6931471805599453,4.584967478670572,-6.907755278982137,4.8283137373023015,-6.907755278982137,3.4011973816621555,7.025538314638521,-6.907755278982137,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
38087699,-87.71267,41.92769,1.791759469228055,4.77912349311153,-6.907755278982137,4.442651256490317,3.2188758248682006,0.6931471805599453,7.025538314638521,3.5553480614894135,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
38087907,-87.68538,41.90889,2.302585092994046,3.258096538021482,5.298317366548036,4.990432586778736,3.5263605246161616,0,7.025538314638521,3.091042453358316,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
