id,longitude,latitude,accommodates,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,tv,air_conditioning,balcony_patio,bed_linen,outdoor_space,breakfast,coffee_machine,cooking_equip,white_goods,child_friendly,parking,greet_by_host,internet,long_term_stay,pets,private_entrance,security_system,self_checkin,gym,review_scores_rating_under80,review_scores_rating_80_94,review_scores_rating_95_100,review_scores_rating_unknown,property_type_House,room_type_Private room,host_is_superhost_TRUE,instant_bookable_TRUE,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,walkscore
28749,-87.6801,41.92083,1.791759469228055,5.298317366548036,5.298317366548036,5.0106352940962555,3.2188758248682006,0.6931471805599453,2.302585092994046,3.8501476017100584,89,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90
37738,-87.66539,41.97385,0.6931471805599453,4.343805421853684,-6.907755278982137,-6.907755278982137,3.6109179126442243,1.0986122886681098,4.499809670330265,5.521460917862246,100,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,95
39742,-87.63465,41.89377,0.6931471805599453,4.31748811353631,-6.907755278982137,-6.907755278982137,-6.907755278982137,0.6931471805599453,2.6390573296152584,6.214608098422191,94,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,98
44020,-87.65731,41.92673,1.791759469228055,4.382026634673881,5.298317366548036,5.480638923341991,2.0794415416798357,3.4657359027997265,5.66988092298052,3.9512437185814275,79,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,93
67940,-87.61883,41.84631,1.0986122886681098,4.07753744390572,6.214608098422191,4.31748811353631,2.70805020110221,0,3.8066624897703196,2.70805020110221,94,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,59
71930,-87.67934,41.89615,0.6931471805599453,4.07753744390572,-6.907755278982137,3.4011973816621555,2.995732273553991,1.0986122886681098,4.499809670330265,4.189654742026425,97,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,97
79101,-87.65757,41.96792,1.791759469228055,5.19295685089021,-6.907755278982137,3.4011973816621555,3.912023005428146,0.6931471805599453,5.8998973535824915,5.0106352940962555,96,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,97
84042,-87.67934,41.89615,0.6931471805599453,4.007333185232471,-6.907755278982137,3.4011973816621555,2.995732273553991,1.0986122886681098,4.499809670330265,4.30406509320417,98,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,97
110705,-87.65621,41.9693,0.6931471805599453,4.59511985013459,-6.907755278982137,-6.907755278982137,-6.907755278982137,0.6931471805599453,5.8998973535824915,4.997212273764115,97,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,96
126280,-87.65225,41.96852,0,3.871201010907891,-6.907755278982137,2.995732273553991,2.70805020110221,1.0986122886681098,5.8998973535824915,5.087596335232384,97,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,92
145659,-87.68121,41.94342,2.0794415416798357,5.616771097666572,-6.907755278982137,3.912023005428146,2.995732273553991,0.6931471805599453,7.025538314638521,3.2188758248682006,96,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,94
145690,-87.63864,41.91289,2.302585092994046,6.163314804034641,-6.907755278982137,5.0106352940962555,3.2188758248682006,0.6931471805599453,7.025538314638521,3.784189633918261,95,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,95
165952,-87.67321,41.94274,1.3862943611198906,5.288267030694535,5.298317366548036,3.5553480614894135,2.70805020110221,1.0986122886681098,5.8998973535824915,4.0943445622221,91,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,95
166667,-87.67378,41.94274,1.0986122886681098,4.8283137373023015,5.298317366548036,3.2188758248682006,2.302585092994046,1.0986122886681098,5.8998973535824915,4.477336814478207,91,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,95
166706,-87.67327,41.94221,2.0794415416798357,5.634789603169249,5.703782474656201,3.912023005428146,3.2188758248682006,1.0986122886681098,5.8998973535824915,3.091042453358316,82,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,97
172616,-87.67315,41.89753,1.0986122886681098,4.276666119016055,-6.907755278982137,3.8066624897703196,2.302585092994046,1.0986122886681098,5.0106352940962555,4.174387269895637,96,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,98
175511,-87.72158,41.96012,1.3862943611198906,4.204692619390966,4.605170185988092,4.605170185988092,3.4011973816621555,1.0986122886681098,5.8998973535824915,3.4965075614664802,96,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,91
184764,-87.75403,41.94325,0.6931471805599453,4.442651256490317,5.0106352940962555,3.912023005428146,2.302585092994046,1.0986122886681098,7.286191714702382,5.087596335232384,95,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,70
189821,-87.70219,41.92918,1.6094379124341003,4.8283137373023015,-6.907755278982137,3.6888794541139363,2.995732273553991,0.6931471805599453,4.0943445622221,6.1779441140506,99,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,92
198135,-87.67963,41.95935,0.6931471805599453,3.784189633918261,-6.907755278982137,3.4011973816621555,2.302585092994046,0.6931471805599453,4.5217885770490405,5.135798437050262,99,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,96
207218,-87.60892,41.6883,1.0986122886681098,4.499809670330265,4.605170185988092,3.5553480614894135,2.995732273553991,0,5.8998973535824915,5.5909869805108565,98,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,63
221109,-87.65654,41.89273,0.6931471805599453,4.74493212836325,6.214608098422191,3.912023005428146,3.6888794541139363,2.995732273553991,5.8998973535824915,4.718498871295094,96,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,96
225314,-87.69593,41.92543,0,4.31748811353631,-6.907755278982137,3.4011973816621555,2.70805020110221,0.6931471805599453,1.9459101490553132,2.995732273553991,98,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,96
230836,-87.66088,41.96331,0.6931471805599453,4.8283137373023015,4.605170185988092,3.912023005428146,3.2188758248682006,5.8998973535824915,5.8998973535824915,1.6094379124341003,90,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,96
233933,-87.72781,41.95602,0.6931471805599453,4.007333185232471,4.605170185988092,2.995732273553991,2.302585092994046,0.6931471805599453,3.4011973816621555,5.030437921392435,96,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,86
248791,-87.65791,41.96797,0.6931471805599453,4.499809670330265,-6.907755278982137,2.302585092994046,3.2188758248682006,0.6931471805599453,5.8998973535824915,4.574710978503383,98,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,97
250354,-87.62399,41.86051,0.6931471805599453,5.135798437050262,5.703782474656201,3.912023005428146,3.2188758248682006,5.19295685089021,5.8998973535824915,3.6635616461296463,97,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,93
258253,-87.68438,42.00692,0.6931471805599453,3.871201010907891,5.298317366548036,4.0943445622221,3.912023005428146,3.4657359027997265,4.499809670330265,2.9444389791664403,97,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,72
261509,-87.63494,41.90314,0.6931471805599453,5.003946305945459,5.298317366548036,4.605170185988092,3.912023005428146,3.4657359027997265,7.025538314638521,4.127134385045092,97,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,98
264547,-87.64487,41.88467,1.0986122886681098,5.272999558563747,6.620073206530356,4.382026634673881,3.912023005428146,2.302585092994046,5.19295685089021,4.174387269895637,97,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,98
267646,-87.70471,41.92716,0.6931471805599453,4.574710978503383,5.298317366548036,3.4965075614664802,3.4965075614664802,0.6931471805599453,5.8998973535824915,4.9344739331306915,99,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,96
275496,-87.6404,41.88623,1.791759469228055,5.1647859739235145,-6.907755278982137,3.2188758248682006,2.302585092994046,5.886104031450156,6.633318433280377,2.302585092994046,82,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,96
289689,-87.65764,41.97794,0,3.258096538021482,-6.907755278982137,-6.907755278982137,-6.907755278982137,3.4011973816621555,7.025538314638521,4.0943445622221,95,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,93
289884,-87.68353,41.92063,1.3862943611198906,4.8283137373023015,4.605170185988092,3.912023005428146,2.995732273553991,0,7.024649030453636,4.430816798843313,97,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,94
290155,-87.63967,41.82702,1.791759469228055,4.867534450455582,5.298317366548036,-6.907755278982137,-6.907755278982137,1.0986122886681098,4.499809670330265,3.9512437185814275,97,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,72
298321,-87.59027,41.78216,1.0986122886681098,3.8501476017100584,-6.907755278982137,-6.907755278982137,-6.907755278982137,0.6931471805599453,3.9512437185814275,3.828641396489095,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,71
312192,-87.63934,41.82741,1.791759469228055,4.983606621708336,5.298317366548036,-6.907755278982137,-6.907755278982137,1.3862943611198906,4.787491742782046,3.6375861597263857,95,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,72
313227,-87.70916,41.96331,0.6931471805599453,4.442651256490317,4.605170185988092,4.31748811353631,-6.907755278982137,1.0986122886681098,1.9459101490553132,3.8501476017100584,98,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,95
345075,-87.59436,41.8077,0.6931471805599453,4.442651256490317,5.298317366548036,3.4011973816621555,2.995732273553991,0.6931471805599453,2.0794415416798357,5.44673737166631,99,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,75
349265,-87.58948,41.80086,1.9459101490553132,5.272999558563747,-6.907755278982137,5.0106352940962555,3.912023005428146,1.9459101490553132,4.499809670330265,2.0794415416798357,100,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,95
350347,-87.65473,41.93986,1.3862943611198906,4.912654885736052,5.0106352940962555,4.605170185988092,-6.907755278982137,1.0986122886681098,2.6390573296152584,6.173786103901937,98,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,87
363702,-87.67146,41.9991,0.6931471805599453,3.4011973816621555,-6.907755278982137,-6.907755278982137,-6.907755278982137,0,7.025538314638521,3.9889840465642745,96,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,92
363703,-87.67027,42.00162,1.791759469228055,3.4011973816621555,-6.907755278982137,-6.907755278982137,2.302585092994046,0,7.025538314638521,3.6635616461296463,83,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,92
372929,-87.65597,41.89862,2.4849066497880004,5.68697535633982,6.214608098422191,4.605170185988092,3.2188758248682006,0,7.025538314638521,5.356586274672012,97,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,85
395257,-87.62058,41.82869,0.6931471805599453,3.5553480614894135,5.298317366548036,4.605170185988092,1.6094379124341003,0,7.025538314638521,2.9444389791664403,96,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,74
397472,-87.66511,42.01455,1.3862943611198906,4.2626798770413155,5.298317366548036,3.4011973816621555,2.995732273553991,0,6.907755278982137,6.049733455231958,85,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,84
404792,-87.66763,41.88913,1.0986122886681098,4.867534450455582,-6.907755278982137,4.31748811353631,2.70805020110221,1.0986122886681098,5.8998973535824915,5.231108616854587,91,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,92
412182,-87.69902,41.91891,1.3862943611198906,4.23410650459726,-6.907755278982137,3.2188758248682006,2.995732273553991,0.6931471805599453,7.025538314638521,4.962844630259907,97,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,95
422214,-87.66659,41.89843,2.772588722239781,5.521460917862246,6.214608098422191,4.8283137373023015,3.2188758248682006,1.0986122886681098,4.499809670330265,4.867534450455582,98,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,95
446474,-87.68181,41.90095,1.6094379124341003,5.1647859739235145,-6.907755278982137,4.382026634673881,2.995732273553991,1.0986122886681098,4.0943445622221,1.3862943611198906,95,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93
450648,-87.62275,41.86614,0.6931471805599453,4.77912349311153,5.298317366548036,4.31748811353631,3.5553480614894135,1.0986122886681098,7.025538314638521,3.6375861597263857,94,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,92
464581,-87.69385,41.92451,1.3862943611198906,3.8918202981106265,-6.907755278982137,3.367295829986474,2.70805020110221,0.6931471805599453,5.886104031450156,6.431331081933479,96,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,95
484898,-87.67267,41.97053,1.791759469228055,5.41610040220442,4.605170185988092,4.605170185988092,2.995732273553991,1.0986122886681098,3.4011973816621555,2.6390573296152584,95,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,93
488097,-87.6731,41.91173,0.6931471805599453,4.0943445622221,6.214608098422191,-6.907755278982137,-6.907755278982137,1.0986122886681098,5.19295685089021,2.9444389791664403,95,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,96
496809,-87.67501,42.00435,0.6931471805599453,4.442651256490317,-6.907755278982137,3.2188758248682006,2.995732273553991,1.0986122886681098,4.499809670330265,3.58351893845611,99,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,89
533831,-87.6425,41.91269,2.0794415416798357,5.634789603169249,5.521460917862246,4.976733742420574,3.8066624897703196,0.6931471805599453,5.8998973535824915,4.007333185232471,89,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,88
537419,-87.63919,41.94286,0,4.867534450455582,6.214608098422191,3.2188758248682006,3.2188758248682006,0,3.4011973816621555,3.332204510175204,94,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,82
542067,-87.69989,41.93142,1.3862943611198906,4.8283137373023015,-6.907755278982137,3.6888794541139363,3.2188758248682006,1.0986122886681098,3.4339872044851463,5.560681631015528,97,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,86
548905,-87.61559,41.82293,1.0986122886681098,4.442651256490317,5.857933154483459,3.912023005428146,2.70805020110221,0.6931471805599453,3.4657359027997265,5.424950017481403,97,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,61
573540,-87.63919,41.94284,1.0986122886681098,6.194405391104672,6.684611727667927,3.2188758248682006,3.4011973816621555,0,7.025538314638521,3.5553480614894135,96,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,82
584590,-87.68359,41.96425,0.6931471805599453,4.31748811353631,-6.907755278982137,3.4011973816621555,2.302585092994046,0,4.499809670330265,3.7612001156935624,90,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,96
585353,-87.66268,41.88961,1.0986122886681098,3.7376696182833684,5.0106352940962555,3.2188758248682006,2.995732273553991,0,4.0943445622221,4.844187086458591,89,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,94
585356,-87.66241,41.89003,1.3862943611198906,4.30406509320417,5.0106352940962555,3.4011973816621555,3.5553480614894135,0,4.0943445622221,4.962844630259907,90,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,96
611839,-87.67946,41.93537,0,3.7376696182833684,-6.907755278982137,3.4011973816621555,-6.907755278982137,0.6931471805599453,4.0943445622221,5.075173815233827,97,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,82
628149,-87.66086,41.89056,0.6931471805599453,4.143134726391533,4.605170185988092,2.995732273553991,2.995732273553991,0,4.8283137373023015,4.564348191467836,91,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,96
634310,-87.66213,41.99667,0.6931471805599453,4.174387269895637,5.521460917862246,-6.907755278982137,2.70805020110221,0.6931471805599453,7.025538314638521,4.394449154672439,98,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,95
640841,-87.67134,41.94242,1.3862943611198906,5.298317366548036,5.703782474656201,4.382026634673881,3.912023005428146,1.0986122886681098,2.6390573296152584,3.828641396489095,100,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,96
651742,-87.75569,41.99244,0.6931471805599453,4.31748811353631,-6.907755278982137,-6.907755278982137,-6.907755278982137,0.6931471805599453,5.8998973535824915,4.189654742026425,99,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,58
662034,-87.75719,41.99201,0.6931471805599453,4.174387269895637,-6.907755278982137,-6.907755278982137,-6.907755278982137,0.6931471805599453,5.8998973535824915,4.189654742026425,98,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,57
681842,-87.68121,41.99348,0,3.912023005428146,5.298317366548036,2.1972245773362196,3.6888794541139363,1.0986122886681098,2.302585092994046,3.258096538021482,98,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,80
697634,-87.63499,41.90302,1.3862943611198906,4.59511985013459,5.703782474656201,4.553876891600541,-6.907755278982137,3.4339872044851463,7.025538314638521,5.0106352940962555,97,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,98
699284,-87.64895,41.92929,2.4849066497880004,6.684611727667927,6.907755278982137,5.298317366548036,3.2188758248682006,1.0986122886681098,5.8998973535824915,3.784189633918261,93,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,98
724895,-87.66096,41.88999,0.6931471805599453,3.784189633918261,4.605170185988092,2.995732273553991,2.70805020110221,0,3.4011973816621555,4.867534450455582,88,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,96
726376,-87.65218,41.93932,0.6931471805599453,4.442651256490317,-6.907755278982137,-6.907755278982137,2.70805020110221,0.6931471805599453,3.4011973816621555,6.429719478039138,94,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,90
727847,-87.70293,41.92255,0.6931471805599453,4.0943445622221,-6.907755278982137,3.4011973816621555,2.995732273553991,0.6931471805599453,7.025538314638521,4.290459441148391,85,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,92
731232,-87.699,41.92669,1.6094379124341003,4.499809670330265,-6.907755278982137,3.6888794541139363,2.995732273553991,0.6931471805599453,5.8998973535824915,4.897839799950911,97,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,95
739495,-87.68087,41.97847,1.3862943611198906,4.31748811353631,-6.907755278982137,4.248495242049359,3.2188758248682006,1.3862943611198906,3.4011973816621555,5.220355825078324,97,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,83
753809,-87.61566,41.88624,1.0986122886681098,4.543294782270004,-6.907755278982137,4.382026634673881,-6.907755278982137,3.4339872044851463,7.022868086082641,2.5649493574615367,94,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,75
755701,-87.72061,41.92997,1.6094379124341003,4.90527477843843,-6.907755278982137,5.298317366548036,3.912023005428146,1.6094379124341003,7.025538314638521,2.9444389791664403,94,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,84
764856,-87.64935,41.88676,0.6931471805599453,5.0689042022202315,5.298317366548036,3.5553480614894135,-6.907755278982137,0.6931471805599453,4.787491742782046,5.459585514144159,98,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,98
773127,-87.682,41.94994,0.6931471805599453,4.430816798843313,-6.907755278982137,2.995732273553991,3.2188758248682006,0.6931471805599453,2.6390573296152584,4.852030263919617,96,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,88
789429,-87.66238,41.96193,0.6931471805599453,4.59511985013459,4.605170185988092,3.6888794541139363,2.995732273553991,5.8998973535824915,5.8998973535824915,-6.907755278982137,101,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,92
